sample_ID,genotype,treatment,rep_number_tank,coral_species,sp,tank
A08_2_3SP,A08,3SP,2,Porites compressa,PCOM,TANK22
A09_2_3SP,A09,3SP,2,Porites compressa,PCOM,TANK5
A10_2_3SP,A10,3SP,2,Porites compressa,PCOM,TANK5
A11_2_3SP,A11,3SP,2,Porites compressa,PCOM,TANK5
A12_2_3SP,A12,3SP,2,Porites compressa,PCOM,TANK5
A13_2_3SP,A13,3SP,2,Porites compressa,PCOM,TANK19
A14_2_3SP,A14,3SP,2,Porites compressa,PCOM,TANK19
A15_2_3SP,A15,3SP,2,Porites compressa,PCOM,TANK19
A16_2_3SP,A16,3SP,2,Porites compressa,PCOM,TANK19
B01_2_3SP,B01,3SP,2,Montipora capitata,MCAP,TANK9
B02_2_3SP,B02,3SP,2,Montipora capitata,MCAP,TANK9
B03_2_3SP,B03,3SP,2,Montipora capitata,MCAP,TANK9
B04_2_3SP,B04,3SP,2,Montipora capitata,MCAP,TANK9
B05_2_3SP,B05,3SP,2,Montipora capitata,MCAP,TANK22
B06_2_3SP,B06,3SP,2,Montipora capitata,MCAP,TANK22
B07_2_3SP,B07,3SP,2,Montipora capitata,MCAP,TANK22
B08_2_3SP,B08,3SP,2,Montipora capitata,MCAP,TANK22
B09_2_3SP,B09,3SP,2,Montipora capitata,MCAP,TANK5
B10_2_3SP,B10,3SP,2,Montipora capitata,MCAP,TANK5
B11_2_3SP,B11,3SP,2,Montipora capitata,MCAP,TANK5
B12_2_3SP,B12,3SP,2,Montipora capitata,MCAP,TANK5
B13_2_3SP,B13,3SP,2,Montipora capitata,MCAP,TANK19
B14_2_3SP,B14,3SP,2,Montipora capitata,MCAP,TANK19
B15_2_3SP,B15,3SP,2,Montipora capitata,MCAP,TANK19
B16_2_3SP,B16,3SP,2,Montipora capitata,MCAP,TANK19
C01_2_3SP,C01,3SP,2,Pocillopora meandrina,PMEA,TANK9
C02_2_3SP,C02,3SP,2,Pocillopora meandrina,PMEA,TANK9
C03_2_3SP,C03,3SP,2,Pocillopora meandrina,PMEA,TANK9
C04_2_3SP,C04,3SP,2,Pocillopora meandrina,PMEA,TANK9
C05_2_3SP,C05,3SP,2,Pocillopora meandrina,PMEA,TANK22
C06_2_3SP,C06,3SP,2,Pocillopora meandrina,PMEA,TANK22
C07_2_3SP,C07,3SP,2,Pocillopora meandrina,PMEA,TANK22
C08_2_3SP,C08,3SP,2,Pocillopora meandrina,PMEA,TANK22
C09_2_3SP,C09,3SP,2,Pocillopora meandrina,PMEA,TANK5
C10_2_3SP,C10,3SP,2,Pocillopora meandrina,PMEA,TANK5
C11_2_3SP,C11,3SP,2,Pocillopora meandrina,PMEA,TANK5
C12_2_3SP,C12,3SP,2,Pocillopora meandrina,PMEA,TANK5
C13_2_3SP,C13,3SP,2,Pocillopora meandrina,PMEA,TANK19
C14_2_3SP,C14,3SP,2,Pocillopora meandrina,PMEA,TANK19
C15_2_3SP,C15,3SP,2,Pocillopora meandrina,PMEA,TANK19
C16_2_3SP,C16,3SP,2,Pocillopora meandrina,PMEA,TANK19
A01_1_MONO,A01,MONO,1,Porites compressa,PCOM,TANK20
A02_1_MONO,A02,MONO,1,Porites compressa,PCOM,TANK20
A03_1_MONO,A03,MONO,1,Porites compressa,PCOM,TANK20
A04_1_MONO,A04,MONO,1,Porites compressa,PCOM,TANK20
A05_1_MONO,A05,MONO,1,Porites compressa,PCOM,TANK1
A06_1_MONO,A06,MONO,1,Porites compressa,PCOM,TANK1
A07_1_MONO,A07,MONO,1,Porites compressa,PCOM,TANK1
A08_1_MONO,A08,MONO,1,Porites compressa,PCOM,TANK1
A09_1_MONO,A09,MONO,1,Porites compressa,PCOM,TANK3
A10_1_MONO,A10,MONO,1,Porites compressa,PCOM,TANK3
A11_1_MONO,A11,MONO,1,Porites compressa,PCOM,TANK3
A12_1_MONO,A12,MONO,1,Porites compressa,PCOM,TANK3
A13_1_MONO,A13,MONO,1,Porites compressa,PCOM,TANK18
A14_1_MONO,A14,MONO,1,Porites compressa,PCOM,TANK18
A15_1_MONO,A15,MONO,1,Porites compressa,PCOM,TANK18
A16_1_MONO,A16,MONO,1,Porites compressa,PCOM,TANK18
A01_2_MONO,A01,MONO,2,Porites compressa,PCOM,TANK20
A02_2_MONO,A02,MONO,2,Porites compressa,PCOM,TANK20
A03_2_MONO,A03,MONO,2,Porites compressa,PCOM,TANK20
A04_2_MONO,A04,MONO,2,Porites compressa,PCOM,TANK20
A05_2_MONO,A05,MONO,2,Porites compressa,PCOM,TANK1
A06_2_MONO,A06,MONO,2,Porites compressa,PCOM,TANK1
A07_2_MONO,A07,MONO,2,Porites compressa,PCOM,TANK1
A08_2_MONO,A08,MONO,2,Porites compressa,PCOM,TANK1
A09_2_MONO,A09,MONO,2,Porites compressa,PCOM,TANK3
A10_2_MONO,A10,MONO,2,Porites compressa,PCOM,TANK3
A11_2_MONO,A11,MONO,2,Porites compressa,PCOM,TANK3
A12_2_MONO,A12,MONO,2,Porites compressa,PCOM,TANK3
A13_2_MONO,A13,MONO,2,Porites compressa,PCOM,TANK18
A14_2_MONO,A14,MONO,2,Porites compressa,PCOM,TANK18
A15_2_MONO,A15,MONO,2,Porites compressa,PCOM,TANK18
A16_2_MONO,A16,MONO,2,Porites compressa,PCOM,TANK18
A01_3_MONO,A01,MONO,3,Porites compressa,PCOM,TANK20
A02_3_MONO,A02,MONO,3,Porites compressa,PCOM,TANK20
A03_3_MONO,A03,MONO,3,Porites compressa,PCOM,TANK20
A04_3_MONO,A04,MONO,3,Porites compressa,PCOM,TANK20
A05_3_MONO,A05,MONO,3,Porites compressa,PCOM,TANK1
A06_3_MONO,A06,MONO,3,Porites compressa,PCOM,TANK1
A07_3_MONO,A07,MONO,3,Porites compressa,PCOM,TANK1
A08_3_MONO,A08,MONO,3,Porites compressa,PCOM,TANK1
A09_3_MONO,A09,MONO,3,Porites compressa,PCOM,TANK3
A10_3_MONO,A10,MONO,3,Porites compressa,PCOM,TANK3
A11_3_MONO,A11,MONO,3,Porites compressa,PCOM,TANK3
A12_3_MONO,A12,MONO,3,Porites compressa,PCOM,TANK3
A13_3_MONO,A13,MONO,3,Porites compressa,PCOM,TANK18
A14_3_MONO,A14,MONO,3,Porites compressa,PCOM,TANK18
A15_3_MONO,A15,MONO,3,Porites compressa,PCOM,TANK18
