"X","X500","X495","X490","X485","X480","X475","X470","X465","X460","X455","X450","X445","X440","X435","X430","X425","X420","X415","X410","X405","X400","X395","X390","X385","X380","X375","X370","X365","X360","X355","X350","X345","X340","X335","X330","X325","X320","X315","X310","X305","X300","X295","X290","X285","X280","X275","X270","X265","X260","X255","X250","X245","X240","UniqueID"
352.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00271927604647957,0.00483992291825253,0.00515836613709332,0.00529114802090966,0.00954273626060571,0.0138290520433548,0.0118513843347423,0.0106430021257455,0.0144905312918029,0.018848336907137,0.0220223728940279,0.0226710746227174,0.0239537526187183,0.0227822838648003,0.0220285650442043,0.0207162883910813,0.0167065096331443,0.0216347123096322,0.0206795870132417,0,"BIOFAC_1"
356.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00278672644520432,0.00482299644814379,0.00572979614479973,0.00616971854455148,0.00915946124729468,0.0146153200595921,0.0134556852269124,0.0121544492893217,0.0139218192767938,0.0153503561178444,0.0208065970590978,0.0237372067557971,0.0240932735149072,0.0228938950962522,0.0245773273932632,0.0240015300803594,0.0240386460516631,0.0252551400599441,0.0227334046916016,0.00646363642648843,0,"BIOFAC_1"
361.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00375181750889745,0.00385483275156951,0.00602540913902644,0.00721465509493726,0.00876316988963543,0.0145992120232702,0.0138615306058545,0.0140929375796328,0.013648221386782,0.0143142067161553,0.0182354194293953,0.0205545124614324,0.023704752736083,0.0249263700189475,0.0258631321606065,0.0256611422506459,0.0238848420981608,0.0254281858761556,0.0239646209840912,0.0253519553055248,0.0212207491819907,0.0621118949316508,"BIOFAC_1"
365.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00261811674264007,0.00429010077879026,0.00548463895297802,0.00765006080506065,0.00794146075858366,0.0123021227706358,0.0163275299422371,0.0140918267191281,0.0146511293851169,0.0159823154165201,0.0164348823002441,0.0191311179409952,0.0220251188035978,0.0246196166203631,0.0252206154530418,0.0263427370623482,0.0233026868175941,0.0263838410888411,0.0233947168857741,0.0264669110601385,0.026863510516305,0.0183201733872935,0.0183565400576195,"BIOFAC_1"
370.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00265444586887708,0.00448735656343673,0.00554015015583955,0.0079832819814693,0.00997080336098478,0.0110206435318423,0.0182749585077298,0.0152124523425471,0.0165686543176166,0.0185406493176951,0.0184341186777641,0.0190631225957621,0.0207900931474548,0.0248835670616853,0.0242893062332224,0.026648828372212,0.0264863695000158,0.0273019767784244,0.0285599470305525,0.0292540815310328,0.0334388557216335,0.0410892981205317,0.0484835927822801,0.0359732668119596,"BIOFAC_1"
375.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00243403708664202,0.0029866084845639,0.00491435665546175,0.0065244485409595,0.0087276272096488,0.0100258917839199,0.0159316906048557,0.0164999198560307,0.0164974482588308,0.0176507231995706,0.0177983529773479,0.019488938313291,0.0190063295951918,0.0189478462698668,0.022207361649116,0.0232792584184651,0.0255570732337906,0.0244242319787382,0.0241752792870088,0.0269388463848703,0.0252515868106143,0.0228271459137909,0.0237064340758184,0.0261671511947231,0,"BIOFAC_1"
379.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023957902807488,0.00342790806124959,0.00507115417321084,0.00680471066537432,0.00837330640544906,0.00990422955838051,0.0143483409990773,0.0164815927692414,0.0169262272061748,0.0181295839682003,0.019576026482515,0.019873349519042,0.020578043067114,0.0205307979102463,0.0216868488488012,0.0235001847561251,0.0257779795209574,0.024728290982853,0.0265822117694066,0.0269909031357491,0.0292782632414374,0.0291041577564514,0.0322910929892242,0.0330323616149147,0.0414552836955468,0.0297252880281163,"BIOFAC_1"
384.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00307494812827358,0.00484978628581022,0.00641141935911288,0.0085025350130122,0.00995935604666255,0.0132632664339309,0.0180187748272014,0.017174136553759,0.018015556756413,0.0193292415160556,0.0212378342920876,0.0204720546048553,0.0216728961065674,0.0209197223479004,0.021994826999939,0.0240040527885405,0.0248412710105728,0.0241452902733918,0.0274693220962736,0.0262713591139465,0.030530205004583,0.0322969005084944,0.0367799265399546,0.0423613359406292,0.0485945431664149,0.0515193231599363,"BIOFAC_1"
388.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00313554698602289,0.00426259209233637,0.00707965141295755,0.00839012376483333,0.0101345530012309,0.0121799312212651,0.0168136622364475,0.0170336498956054,0.0178304415816063,0.0197086553524048,0.0208113992507674,0.0215341137260979,0.0215683891224937,0.0229301697883889,0.0225652117736666,0.0225579803491071,0.0244570543421529,0.0259079642650471,0.0257536359904502,0.0265006234430846,0.0275778473587855,0.0297788070460198,0.0325071094277417,0.0346681226417544,0.0414027820934455,0.049625484353448,0.0364796535749153,"BIOFAC_1"
393.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023991172905951,0.0037410388773765,0.00564935076241551,0.00698501273966721,0.00922890154714946,0.0110022725638519,0.0160946735738974,0.0171241839045053,0.0171645732146035,0.0188296138226933,0.0207280275219022,0.0214777883753624,0.0218003635692452,0.0215193093364238,0.0223943144900362,0.0222527498785065,0.0211936666289161,0.0242050637930993,0.0239515974968502,0.0251549604640871,0.0268310472520231,0.0261513022588748,0.0292750857534895,0.0306098603187979,0.0387714468474341,0.0362818347708302,0.0438883416777289,0.0479273600659176,"BIOFAC_1"
