ID - RESPO,tank,Date time,ID - OTHER,tank,Date time
,,,A11_3_MONO,TANK3,
,,,A12_3_MONO,TANK3,
,,,A09_4_MONO,TANK3,
,,,A10_4_MONO,TANK3,
,,,A11_4_MONO,TANK3,
,,,A12_4_MONO,TANK3,
,,,A09_5_MONO,TANK3,
,,,A10_5_MONO,TANK3,
,,,A11_5_MONO,TANK3,
,,,A12_5_MONO,TANK3,
,,,A09_6_MONO,TANK3,
,,,A10_6_MONO,TANK3,
,,,A11_6_MONO,TANK3,
,,,A12_6_MONO,TANK3,
,,,C09_1_3SP,TANK5,
,,,C10_1_3SP,TANK5,
,,,C11_1_3SP,TANK5,
,,,C12_1_3SP,TANK5,
,,,A09_2_3SP,TANK5,
,,,A10_2_3SP,TANK5,
,,,A11_2_3SP,TANK5,
,,,A12_2_3SP,TANK5,
,,,B09_2_3SP,TANK5,
,,,B10_2_3SP,TANK5,
,,,B11_2_3SP,TANK5,
,,,B12_2_3SP,TANK5,
,,,C09_2_3SP,TANK5,
,,,C10_2_3SP,TANK5,
,,,C11_2_3SP,TANK5,
,,,C12_2_3SP,TANK5,
,,,B09_2_MONO,TANK6,
,,,B10_2_MONO,TANK6,
,,,B11_2_MONO,TANK6,
,,,B12_2_MONO,TANK6,
,,,B09_3_MONO,TANK6,
,,,B10_3_MONO,TANK6,
,,,B11_3_MONO,TANK6,
,,,B12_3_MONO,TANK6,
,,,B09_4_MONO,TANK6,
,,,B10_4_MONO,TANK6,
,,,B11_4_MONO,TANK6,
,,,B12_4_MONO,TANK6,
,,,B09_5_MONO,TANK6,
,,,B10_5_MONO,TANK6,
,,,B11_5_MONO,TANK6,
,,,B12_5_MONO,TANK6,
,,,B09_6_MONO,TANK6,
,,,B10_6_MONO,TANK6,
,,,B11_6_MONO,TANK6,
,,,B12_6_MONO,TANK6,
,,,C01_1_3SP,TANK9,
,,,C02_1_3SP,TANK9,
,,,C03_1_3SP,TANK9,
,,,C04_1_3SP,TANK9,
,,,A01_2_3SP,TANK9,
,,,A02_2_3SP,TANK9,
,,,A03_2_3SP,TANK9,
,,,A04_2_3SP,TANK9,
,,,B01_2_3SP,TANK9,
,,,B02_2_3SP,TANK9,
,,,B03_2_3SP,TANK9,
,,,B04_2_3SP,TANK9,
,,,C01_2_3SP,TANK9,
,,,C02_2_3SP,TANK9,
,,,C03_2_3SP,TANK9,
,,,C04_2_3SP,TANK9,
