date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,umol.cm2.hr,chamber_channel,Temp.C,umol.cm2.hr_uncorr,Light_level,Light_value
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.0596079069154196,12,23.63717073170732,1.0115159999999994,3,210
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,1.0727374672536383,1,24.1920243902439,1.0916695601173065,4,309
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.4188455810040794,2,24.065365853658538,0.4450592480460815,4,309
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.521823953079727,4,24.069536585365853,0.5445424645161289,4,309
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,1.0168743294237241,5,24.055121951219512,1.0358064222873924,4,309
2026-03-04,PCOM,A08_BF_PI,A08,LIGHT,RUN1,15,0.35155561658636203,6,24.052146341463416,0.37427412802276383,4,309
2026-03-04,PCOM,A02_BF_PI,A02,LIGHT,RUN1,20,0.48739144818765867,7,24.139487804878048,0.50443033176496,4,309
2026-03-04,MCAP,B03_BF_PI,B03,LIGHT,RUN1,20,1.314209077812662,8,24.12980487804878,1.3312479613899635,4,309
2026-03-04,MCAP,B16_BF_PI,B16,LIGHT,RUN1,15,0.8388475626105267,9,24.069048780487805,0.8615660740469285,4,309
2026-03-04,PCOM,A03_BF_PI,A03,LIGHT,RUN1,10,0.31971587684845254,11,24.14468292682927,0.35379364400305524,4,309
2026-03-04,MCAP,B05_BF_PI,B05,LIGHT,RUN1,15,1.4393084950152082,12,24.103146341463415,1.4620270064516099,4,309
2026-03-04,MCAP,B15_BF_PI,B15,LIGHT,RUN1,18,1.1959392454409568,1,24.067684210526316,1.210940608546996,5,398
2026-03-04,PCOM,A13_BF_PI,A13,LIGHT,RUN1,13,0.42671959045492397,2,23.94107894736842,0.44749070860174756,5,398
2026-03-04,PCOM,A15_BF_PI,A15,LIGHT,RUN1,15,0.5979955136980439,4,23.971236842105263,0.615997149425291,5,398
2026-03-04,MCAP,B04_BF_PI,B04,LIGHT,RUN1,18,1.0851558867754187,5,23.92107894736842,1.100157249881458,5,398
