sample_ID,NOTES,genotype,treatment,rep_number_tank,coral_species,sp,tank,Timepoint,DNA
C15_1_6SP,,C15,6SP,1,Pocillopora meandrina,PMEA,TANK13,T1,
C16_1_6SP,,C16,6SP,1,Pocillopora meandrina,PMEA,TANK13,T1,
D13_1_6SP,,D13,6SP,1,Pavona varians,PVAR,TANK13,T1,
D14_1_6SP,,D14,6SP,1,Pavona varians,PVAR,TANK13,T1,
D15_1_6SP,,D15,6SP,1,Pavona varians,PVAR,TANK13,T1,
D16_1_6SP,,D16,6SP,1,Pavona varians,PVAR,TANK13,T1,
E13_1_6SP,,E13,6SP,1,Leptastrea purpurea,LPUR,TANK13,T1,
E14_1_6SP,,E14,6SP,1,Leptastrea purpurea,LPUR,TANK13,T1,
E15_1_6SP,,E15,6SP,1,Leptastrea purpurea,LPUR,TANK13,T1,
E16_1_6SP,,E16,6SP,1,Leptastrea purpurea,LPUR,TANK13,T1,
F13_1_6SP,,F13,6SP,1,Porites evermanni,PEVE,TANK13,T1,
F14_1_6SP,,F14,6SP,1,Porites evermanni,PEVE,TANK13,T1,
F15_1_6SP,,F15,6SP,1,Porites evermanni,PEVE,TANK13,T1,
F16_1_6SP,,F16,6SP,1,Porites evermanni,PEVE,TANK13,T1,
B13_1_MONO,,B13,MONO,1,Montipora capitata,MCAP,TANK14,T1,
B14_1_MONO,,B14,MONO,1,Montipora capitata,MCAP,TANK14,T1,
B15_1_MONO,,B15,MONO,1,Montipora capitata,MCAP,TANK14,T1,
B16_1_MONO,,B16,MONO,1,Montipora capitata,MCAP,TANK14,T1,
B13_3_MONO,EXTRA,,,,,,TANK14,T1,B08_1_6SP TUBE
B14_4_MONO,EXTRA,,,,,,TANK14,T1,B07_1_6SP TUBE
B15_3_MONO,EXTRA,,,,,,TANK14,T1,B06_1_6SP TUBE
B16_3_MONO,EXTRA,,,,,,TANK14,T1,B05_1_6SP TUBE
B09_1_FAKE,,B09,FAKE,1,Montipora capitata,MCAP,TANK15,T1,
B10_1_FAKE,,B10,FAKE,1,Montipora capitata,MCAP,TANK15,T1,
B11_1_FAKE,,B11,FAKE,1,Montipora capitata,MCAP,TANK15,T1,
B12_1_FAKE,,B12,FAKE,1,Montipora capitata,MCAP,TANK15,T1,
B01_1_FAKE,,B01,FAKE,1,Montipora capitata,MCAP,TANK17,T1,
B02_1_FAKE,,B02,FAKE,1,Montipora capitata,MCAP,TANK17,T1,
B03_1_FAKE,,B03,FAKE,1,Montipora capitata,MCAP,TANK17,T1,
B04_1_FAKE,,B04,FAKE,1,Montipora capitata,MCAP,TANK17,T1,
A13_1_MONO,,A13,MONO,1,Porites compressa,PCOM,TANK18,T1,
A14_1_MONO,,A14,MONO,1,Porites compressa,PCOM,TANK18,T1,
A15_1_MONO,,A15,MONO,1,Porites compressa,PCOM,TANK18,T1,
A16_1_MONO,,A16,MONO,1,Porites compressa,PCOM,TANK18,T1,
A17_1_3SP,RELABLE,A13,3SP,1,Porites compressa,PCOM,TANK19,T1,A13_1_3SP TUBE
A18_1_3SP,RELABLE,A14,3SP,1,Porites compressa,PCOM,TANK19,T1,A14_1_3SP TUBE
A19_1_3SP,RELABLE,A15,3SP,1,Porites compressa,PCOM,TANK19,T1,A15_1_3SP TUBE
A20_1_3SP,RELABLE,A16,3SP,1,Porites compressa,PCOM,TANK19,T1,A16_1_3SP TUBE
B17_1_3SP,RELABLE,B13,3SP,1,Montipora capitata,MCAP,TANK19,T1,B13_1_3SP TUBE
B18_1_3SP,RELABLE,B14,3SP,1,Montipora capitata,MCAP,TANK19,T1,B14_1_3SP TUBE
B19_1_3SP,RELABLE,B15,3SP,1,Montipora capitata,MCAP,TANK19,T1,B15_1_3SP TUBE
B20_1_3SP,RELABLE,B16,3SP,1,Montipora capitata,MCAP,TANK19,T1,B16_1_3SP TUBE
